Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan/Review Location,Your rating,Your review,Personal Note,Wine type,Drinking Window,Wishlisted date,Cellar count,Link to wine,Label image,Wine price
Fontanafredda,Gavi di Gavi,2018,Gavi,Italy,Italian Gavi,3.86,2020-04-25 18:13:03,,,,Not sure how I found this fontanafredda.,White Wine,,,1,https://www.vivino.com/wines/156147205,https://images.vivino.com/labels/NuRhzEEZRpaPLNjtBT0NIQ.jpg,
Domaine Huet,Vouvray Le Mont Moelleux Première Trie,2018,Vouvray,France,,4.34,2020-04-24 22:03:20,,5.0,,Sauternes-like.   But not as heavy.  Smooth. Sweet.  A bit syrupy.  Great taste.  Acidic with sweetness.   Is it lemon like sweetness?,Dessert Wine,,,,https://www.vivino.com/wines/160500948,https://images.vivino.com/labels/rb5mGte7QyeWSXG_AofXfg.jpg,
Diving Into Hampton Water,Rosé,2018,Vin de France,France,,4.01,2020-04-24 02:06:42,,3.5,Grenache.  Note: West side of Rhône valley.   Super light though.    Taste comes out more when agitated.  Dry rose,Special purchase wine.com bin jovi tasting,Rosé Wine,,,,https://www.vivino.com/wines/156676615,https://images.vivino.com/labels/Qq7Wqy1RTn2yvud4xELJaw.jpg,
Paul Jaboulet Aîné,Gigondas Pierre Aiguille,2016,Gigondas,France,Southern Rhône Red,3.78,2020-04-24 02:05:33,,,,Wine class 6 - intro to France,Red Wine,,,,https://www.vivino.com/wines/147127151,https://images.vivino.com/labels/VLlPM-G6R2GoEqdJjxIwvQ.jpg,
Faiveley,Mercurey 'Les Villeranges',2017,Mercurey,France,Burgundy Côte Chalonnaise Red,3.86,2020-04-24 02:04:53,,,,Wine class 6 - intro to France,Red Wine,,,,https://www.vivino.com/wines/156628884,https://images.vivino.com/labels/C7z7SyKEQeeYLBAxm8JadQ.jpg,
Château de Sancerre,Sancerre Blanc,2018,Sancerre,France,Upper Loire White,3.95,2020-04-24 02:02:42,,,,Wine class 6 - intro to France,White Wine,,,,https://www.vivino.com/wines/156547083,https://images.vivino.com/labels/JTDVSypMQye5s6lefvLBsg.jpg,
Lanson,Black Label Champagne Brut,8888,Champagne,France,French Champagne,3.83,2020-04-24 02:01:46,,,,Wine class 6 - intro to France,Sparkling,,,,https://www.vivino.com/wines/2057230,https://images.vivino.com/labels/2eLV4jqYT-qaIj9rW4EfFQ.jpg,
The Hess Collection,Allomi Cabernet Sauvignon,2017,Napa Valley,United States,Napa Valley Cabernet Sauvignon,4.08,2020-04-24 01:59:47,,,,Wine class 5 - intro to California,Red Wine,,,1,https://www.vivino.com/wines/151616724,https://images.vivino.com/labels/E2dFNhAvQ12Jyv85T1irNA.jpg,
Qupé,Grenache Sawyer Lindquist Vineyard,2016,Edna Valley,United States,,3.90,2020-04-24 01:58:44,,,,Wine class 5 - intro to California,Red Wine,,,,https://www.vivino.com/wines/156596687,https://images.vivino.com/labels/3wkcigb7SvOU260Ri5nV6A.jpg,
Wines from Hahn Estate,SLH Pinot Noir,2018,Santa Lucia Highlands,United States,Californian Pinot Noir,3.92,2020-04-24 01:57:24,,,,Wine class 5 - intro to California,Red Wine,,,,https://www.vivino.com/wines/156208129,https://images.vivino.com/labels/ZZXq1MuGQPiPU5cQsRsSkw.jpg,
Roederer Estate,Brut,8888,Anderson Valley,United States,Californian Sparkling,3.86,2020-04-24 01:55:22,,4.0,,Wine class 5 - intro to California,Sparkling,,,,https://www.vivino.com/wines/2133915,https://images.vivino.com/labels/15XEL5XaScyUcUwZyjGyaQ.jpg,
Dr. Loosen,Dr. L Riesling,2018,Mosel,Germany,German Riesling,3.84,2020-04-23 02:07:26,,,,Wine class 2 - wines of the world,White Wine,,,1,https://www.vivino.com/wines/156296643,https://images.vivino.com/labels/yRh6dwxFRNG_GCCibgw-iQ.jpg,
Fèlsina,Berardenga Chianti Classico,2016,Chianti Classico,Italy,Italian Chianti,3.75,2020-04-22 13:57:14,,,,Wine Class 2 - wines of the world,Red Wine,,,,https://www.vivino.com/wines/125565462,https://images.vivino.com/labels/tlSveY3CRMews6uQcIZhOA.jpg,
Billaud-Simon,Chablis,2017,Chablis,France,Burgundy Chablis,3.79,2020-04-22 13:56:21,,,,Wine Class 2 - wines of the world,White Wine,,,,https://www.vivino.com/wines/152739273,https://images.vivino.com/labels/P5IF-o6lRt69GK6258Kvcg.jpg,
